logical_font,oracle_category,category_sensitive,candidate,file,license,bundleable,category_expected,category_inferred,category_used,category_conflict,coverage_pct,weighted_mean_adv_pct,max_adv_pct,cand_ink_px,floor_px,ink_floor_risk,line_metric_primary_pct,use_typo_mismatch,verdict,verdict_reasons,source
Consolas,mono,false,Inconsolata,Inconsolata-VF.ttf,OFL-1.1,true,mono,mono,mono,,100.0,9.059,9.059,0.0,165.6,false,-10.41,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 9.06%, max 9.06%); category-correct visual fallback only",Google Fonts (VF default); catalog calls it visual-only
Consolas,mono,false,JetBrains Mono,JetBrainsMono-VF.ttf,OFL-1.1,true,mono,mono,mono,,100.0,9.130,9.130,0.0,165.6,false,12.73,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 9.13%, max 9.13%); category-correct visual fallback only",Google Fonts (VF default)
Consolas,mono,false,Source Code Pro,SourceCodePro-VF.ttf,OFL-1.1,true,mono,mono,mono,,100.0,9.130,9.130,0.0,165.6,false,7.35,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 9.13%, max 9.13%); category-correct visual fallback only",Google Fonts (VF default)
Consolas,mono,false,IBM Plex Mono,IBMPlexMono-Regular.ttf,OFL-1.1,true,mono,mono,mono,,100.0,9.130,9.130,0.0,165.6,false,11.03,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 9.13%, max 9.13%); category-correct visual fallback only",Google Fonts
Consolas,mono,false,Liberation Mono,LiberationMono-Regular.ttf,OFL-1.1,true,mono,mono,mono,,100.0,9.147,9.147,0.0,165.6,false,-3.25,false,visual_category_fallback_only,"advance too far for metric fidelity (mean 9.15%, max 9.15%); category-correct visual fallback only","Courier New clone, tested against Consolas"
Verdana,sans,false,DejaVu Sans,DejaVuSans.ttf,Bitstream-Vera,true,sans,sans,sans,,100.0,1.511,6.641,144.0,165.6,false,-4.22,false,visual_category_fallback_only,"advance too far for metric fidelity (mean 1.51%, max 6.64%); category-correct visual fallback only",catalog's closest Verdana visual candidate (jsdelivr npm dejavu-fonts-ttf)
Verdana,sans,false,Noto Sans,NotoSans-VF.ttf,OFL-1.1,true,sans,sans,sans,,100.0,8.610,21.696,144.7,165.6,false,27.31,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 8.61%, max 21.70%); category-correct visual fallback only",Google Fonts (VF default)
Verdana,sans,false,Open Sans,OpenSans-Regular.ttf,Apache-2.0,true,sans,sans,sans,,100.0,9.576,22.062,144.8,165.6,false,27.29,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 9.58%, max 22.06%); category-correct visual fallback only",Google Fonts
Verdana,sans,false,Source Sans 3,SourceSans3-Regular.ttf,OFL-1.1,true,sans,sans,sans,,100.0,19.327,28.043,144.0,165.6,false,33.11,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 19.33%, max 28.04%); category-correct visual fallback only",Google Fonts
Tahoma,sans,false,Open Sans,OpenSans-Regular.ttf,Apache-2.0,true,sans,sans,sans,,100.0,4.846,7.400,144.8,165.6,false,36.18,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 4.85%, max 7.40%); category-correct visual fallback only",Google Fonts
Tahoma,sans,false,Noto Sans,NotoSans-VF.ttf,OFL-1.1,true,sans,sans,sans,,100.0,5.896,8.510,144.7,165.6,false,36.20,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 5.90%, max 8.51%); category-correct visual fallback only",Google Fonts (VF default)
Tahoma,sans,false,DejaVu Sans,DejaVuSans.ttf,Bitstream-Vera,true,sans,sans,sans,,100.0,13.204,16.547,144.0,165.6,false,-3.56,false,visual_category_fallback_only,"advance too far for metric fidelity (mean 13.20%, max 16.55%); category-correct visual fallback only",Tahoma is close kin to Verdana/DejaVu
Trebuchet MS,sans,false,Open Sans,OpenSans-Regular.ttf,Apache-2.0,true,sans,sans,sans,,100.0,3.640,9.032,144.8,165.6,false,44.51,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 3.64%, max 9.03%); category-correct visual fallback only",Google Fonts
Trebuchet MS,sans,false,Noto Sans,NotoSans-VF.ttf,OFL-1.1,true,sans,sans,sans,,100.0,4.671,9.074,144.7,165.6,false,44.53,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 4.67%, max 9.07%); category-correct visual fallback only",Google Fonts (VF default)
Trebuchet MS,sans,false,Source Sans 3,SourceSans3-Regular.ttf,OFL-1.1,true,sans,sans,sans,,100.0,8.257,13.229,144.0,165.6,false,51.11,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 8.26%, max 13.23%); category-correct visual fallback only",Google Fonts
Trebuchet MS,sans,false,DejaVu Sans,DejaVuSans.ttf,Bitstream-Vera,true,sans,sans,sans,,100.0,12.110,21.322,144.0,165.6,false,0.25,false,visual_category_fallback_only,"advance too far for metric fidelity (mean 12.11%, max 21.32%); category-correct visual fallback only",jsdelivr npm dejavu-fonts-ttf
Candara,sans,false,Source Sans 3,SourceSans3-Regular.ttf,OFL-1.1,true,sans,sans,sans,,100.0,1.458,3.256,0.0,165.6,false,16.65,true,visual_category_fallback_only,"advance too far for metric fidelity (mean 1.46%, max 3.26%); category-correct visual fallback only",humanist sans
